,Row 1
415,1.08917
416,1.08758
417,1.08407
418,1.0806
419,1.07749
420,1.07481
421,1.07147
422,1.07272
423,1.07396
424,1.0764
425,1.0795
426,1.08308
427,1.08518
428,1.08795
429,1.09006
430,1.0912
431,1.08969
432,1.0881
433,1.08445
434,1.08087
435,1.07738
436,1.07519
437,1.07205
438,1.0725
439,1.07393
440,1.07601
441,1.07877
442,1.08271
443,1.08491
444,1.08728
445,1.09011
446,1.0907
447,1.08996
448,1.08798
449,1.08544
450,1.08103
451,1.07856
452,1.07539
453,1.07275
454,1.07203
455,1.0736
456,1.07578
457,1.0782
458,1.08218
459,1.08428
460,1.08758
461,1.08897
462,1.0912
463,1.09021
464,1.0887
465,1.08568
466,1.08206
467,1.07822
468,1.07591
469,1.07317
470,1.07226
471,1.07347
472,1.07531
473,1.07788
474,1.08133
475,1.08436
476,1.08617
477,1.08942
478,1.09077
479,1.09108
480,1.08861
481,1.08636
482,1.0819
483,1.07946
484,1.07649
485,1.07419
486,1.07223
487,1.0731
488,1.07495
489,1.07765
490,1.08049
491,1.08403
492,1.08611
493,1.08883
494,1.09088
495,1.0905
496,1.08912
497,1.08677
498,1.08327
499,1.07904
500,1.07689
501,1.07386
502,1.07228
503,1.07286
504,1.07491
505,1.07608
506,1.08039
507,1.08312
508,1.08552
509,1.08847
510,1.0907
511,1.09073
512,1.08935
513,1.08752
514,1.08394
515,1.0798
516,1.07746
517,1.07436
518,1.07187
519,1.07275
520,1.07407
521,1.07647
522,1.07963
523,1.08278
524,1.08518
525,1.08757
526,1.09021
527,1.09103
528,1.08965
529,1.08808
530,1.08363
531,1.08085
532,1.07754
533,1.07506
534,1.07243
535,1.0724
536,1.07347
537,1.07654
538,1.07886
539,1.08265
540,1.08491
541,1.08771
542,1.08956
543,1.09123
544,1.08961
545,1.08784
546,1.08512
547,1.08139
548,1.07797
549,1.07573
550,1.07261
551,1.07177
552,1.07321
553,1.07604
554,1.0783
555,1.08185
556,1.08478
557,1.08747
558,1.08963
559,1.09073
560,1.09008
561,1.08807
562,1.08565
563,1.08136
564,1.0787
565,1.076
566,1.07295
567,1.07199
568,1.07363
569,1.07511
570,1.07822
571,1.08166
572,1.08462
573,1.08593
574,1.08966
575,1.0905
576,1.09008
577,1.08845
578,1.0861
579,1.08202
580,1.07906
581,1.07595
582,1.07296
583,1.07173
584,1.07301
585,1.07501
586,1.07746
587,1.08106
588,1.08394
589,1.08633
590,1.08889
591,1.09078
592,1.09073
593,1.08879
594,1.08662
595,1.08291
596,1.07965
597,1.07654
598,1.07397
599,1.07169
600,1.07312
601,1.07495
602,1.07744
603,1.08035
604,1.08353
605,1.08621
606,1.08843
607,1.0908
608,1.09071
609,1.0892
610,1.08683
611,1.08387
612,1.07948
613,1.07716
614,1.07417
615,1.07218
616,1.07238
617,1.07511
618,1.07644
619,1.08038
620,1.08268
621,1.08564
622,1.08742
623,1.09066
624,1.09025
625,1.08975
626,1.08733
627,1.08416
628,1.08008
629,1.07761
630,1.07455
631,1.07242
632,1.0721
633,1.07432
634,1.07577
635,1.07956
636,1.08219
637,1.08535
638,1.08739
639,1.09021
640,1.09064
641,1.08995
642,1.08768
643,1.08462
644,1.08078
645,1.07801
646,1.07511
647,1.0723
648,1.07222
649,1.07394
650,1.07583
651,1.07883
652,1.08219
653,1.08455
654,1.08764
655,1.08948
656,1.0913
657,1.08992
658,1.08848
659,1.08495
660,1.08186
661,1.078
662,1.07559
663,1.07301
664,1.072
665,1.07345
666,1.07569
667,1.07744
668,1.08187
669,1.08429
670,1.08709
671,1.08953
672,1.09134
673,1.09031
674,1.08867
675,1.08574
676,1.08195
677,1.07884
678,1.07603
679,1.07292
680,1.07215
681,1.07345
682,1.07527
683,1.07788
684,1.08109
685,1.08393
686,1.08624
687,1.08923
688,1.09076
689,1.0908
690,1.08847
691,1.08646
692,1.08261
693,1.07932
694,1.07636
695,1.07347
696,1.07186
697,1.0735
698,1.07498
699,1.07766
700,1.08045
701,1.08386
702,1.0863
703,1.0889
704,1.09047
705,1.09077
706,1.08871
707,1.08654
708,1.08315
709,1.07956
710,1.07669
711,1.07412
712,1.0722
713,1.07261
714,1.07509
715,1.0767
716,1.08018
717,1.08333
718,1.08614
719,1.08789
720,1.09116
721,1.09063
722,1.0892
723,1.08705
724,1.08386
725,1.07998
726,1.07766
727,1.07433
728,1.07235
729,1.07266
730,1.07462
731,1.07623
732,1.0795
733,1.08301
734,1.08529
735,1.08857
736,1.08999
737,1.09134
738,1.08881
739,1.0881
740,1.08448
741,1.08094
742,1.07772
743,1.0746
744,1.07218
745,1.07229
746,1.0742
747,1.07564
748,1.07914
749,1.08238
750,1.08522
751,1.08755
752,1.09028
753,1.09047
754,1.09015
755,1.08752
756,1.08516
757,1.08101
758,1.07843
759,1.07501
760,1.07285
761,1.07156
762,1.07406
763,1.0758
764,1.07857
765,1.08141
766,1.08484
767,1.08701
768,1.08988
769,1.09061
770,1.0904
771,1.08781
772,1.08541
773,1.08159
774,1.07824
775,1.0759
776,1.07281
777,1.07209
778,1.0732
779,1.07552
780,1.07776
781,1.08141
782,1.08428
783,1.08701
784,1.08905
785,1.09119
786,1.09035
787,1.08867
788,1.08547
789,1.08242
790,1.0789
791,1.07636
792,1.07327
793,1.07123
794,1.07344
795,1.07491
796,1.07752
797,1.08073
798,1.08397
799,1.08616
800,1.08913
801,1.09071
802,1.09067
803,1.08851
804,1.08686
805,1.08282
806,1.07988
807,1.0762
808,1.07371
809,1.07166
810,1.07286
811,1.07466
812,1.07741
813,1.08067
814,1.08356
815,1.08547
816,1.08854
817,1.09054
818,1.09071
819,1.08927
820,1.08691
821,1.08384
822,1.07972
823,1.07725
824,1.07412
825,1.07196
826,1.07246
827,1.07449
828,1.07696
829,1.07963
830,1.08288
831,1.08568
832,1.08797
833,1.09077
834,1.09071
835,1.08943
836,1.08693
837,1.08449
838,1.08016
839,1.07771
840,1.0742
841,1.07243
842,1.07248
843,1.07471
844,1.07597
845,1.07966
846,1.08252
847,1.08531
848,1.08768
849,1.09024
850,1.09083
851,1.08968
852,1.08748
853,1.08429
854,1.08111
855,1.07751
856,1.07537
857,1.07202
858,1.07243
859,1.07367
860,1.07604
861,1.07831
862,1.08212
863,1.08458
864,1.08782
865,1.08959
866,1.09083
867,1.08963
868,1.08848
869,1.08492
870,1.082
871,1.07851
872,1.07575
873,1.07259
874,1.07232
875,1.07354
876,1.07574
877,1.07791
878,1.08182
879,1.08436
880,1.08702
881,1.0895
882,1.09114
883,1.09004
884,1.08848
885,1.08613
886,1.08185
887,1.07892
888,1.07623
889,1.07348
890,1.07162
891,1.07377
892,1.07502
893,1.07779
894,1.08123
895,1.08458
896,1.08637
897,1.08912
898,1.09086
899,1.09074
900,1.08841
901,1.08667
902,1.08275
903,1.07953
904,1.07636
905,1.07341
906,1.07193
907,1.0733
908,1.07496
909,1.07728
910,1.08078
911,1.08348
912,1.08642
913,1.08887
914,1.09087
915,1.08994
916,1.08959
917,1.08639
918,1.08328
919,1.07955
920,1.07722
921,1.07377
922,1.07218
923,1.0724
924,1.07463
925,1.07679
926,1.08021
927,1.08284
928,1.08614
929,1.08811
930,1.09061
931,1.0911
932,1.08926
933,1.08711
934,1.0841
935,1.0796
936,1.0771
937,1.07403
938,1.07246
939,1.07205
940,1.07437
941,1.0761
942,1.07979
943,1.08229
944,1.0854
945,1.08787
946,1.09034
947,1.09057
948,1.08979
949,1.08745
950,1.08482
951,1.08049
952,1.07791
953,1.07413
954,1.07259
955,1.07203
956,1.07399
957,1.07588
958,1.07904
959,1.08189
960,1.08516
961,1.08705
962,1.09041
963,1.09031
964,1.08985
965,1.08745
966,1.08535
967,1.081
968,1.07814
969,1.07547
970,1.07258
971,1.07167
972,1.07424
973,1.07559
974,1.079
975,1.08147
976,1.08469
977,1.0866
978,1.08994
979,1.09086
980,1.08998
981,1.08857
982,1.08537
983,1.08206
984,1.07854
985,1.07617
986,1.07272
987,1.07236
988,1.07305
989,1.07532
990,1.07766
991,1.08143
992,1.08442
993,1.08695
994,1.08933
995,1.0909
996,1.09035
997,1.08864
998,1.08634
999,1.08241
1000,1.0796
1001,1.07588
1002,1.07399
1003,1.07189
1004,1.07331
1005,1.07509
1006,1.07759
1007,1.08073
1008,1.08394
1009,1.08624
1010,1.08906
1011,1.09091
1012,1.09028
1013,1.08871
1014,1.08679
1015,1.08279
1016,1.07932
1017,1.07712
1018,1.07352
1019,1.07199
1020,1.07275
1021,1.07491
1022,1.07649
1023,1.08077
1024,1.08333
1025,1.0861
1026,1.08828
1027,1.09093
1028,1.09076
1029,1.08907
1030,1.08667
1031,1.08358
1032,1.07956
1033,1.07713
1034,1.07393
1035,1.07238
1036,1.0724
1037,1.07465
1038,1.07605
1039,1.08001
1040,1.08267
1041,1.08567
1042,1.08818
1043,1.09064
1044,1.09051
1045,1.08978
1046,1.08716
1047,1.08404
1048,1.08067
1049,1.07726
1050,1.0744
1051,1.07261
1052,1.0723
1053,1.07404
1054,1.07637
1055,1.07924
1056,1.08258
1057,1.08537
1058,1.08777
1059,1.08992
1060,1.09113
1061,1.08958
1062,1.08785
1063,1.08472
1064,1.0809
1065,1.078
1066,1.07515
1067,1.07266
1068,1.07202
1069,1.074
1070,1.07521
1071,1.07878
1072,1.08193
1073,1.08492
1074,1.08749
1075,1.08962
1076,1.09103
1077,1.08974
1078,1.08778
1079,1.08529
1080,1.08151
1081,1.07831
1082,1.07595
1083,1.07272
1084,1.07236
1085,1.07363
1086,1.07574
1087,1.07804
1088,1.08218
1089,1.08409
1090,1.08698
1091,1.0892
1092,1.09101
1093,1.0901
1094,1.08841
1095,1.08547
1096,1.08248
1097,1.07817
1098,1.07601
1099,1.07274
1100,1.07189
1101,1.07282
1102,1.07538
1103,1.07746
1104,1.08127
1105,1.08412
1106,1.08616
1107,1.08876
1108,1.09038
1109,1.09044
1110,1.0885
1111,1.08673
1112,1.08278
1113,1.07899
1114,1.0763
1115,1.07348
1116,1.07203
1117,1.07292
1118,1.07505
1119,1.07687
1120,1.0808
1121,1.08341
1122,1.08662
1123,1.08828
1124,1.0913
1125,1.09051
1126,1.08915
1127,1.08666
1128,1.0836
1129,1.07948
1130,1.07695
1131,1.07403
1132,1.07184
1133,1.07266
1134,1.07445
1135,1.07647
1136,1.08006
1137,1.08315
1138,1.08511
1139,1.08843
1140,1.09038
1141,1.09041
1142,1.08916
1143,1.08713
1144,1.08361
1145,1.07965
1146,1.07756
1147,1.07399
1148,1.07232
1149,1.07223
1150,1.07439
1151,1.07598
1152,1.07966
1153,1.08284
1154,1.08588
1155,1.08785
1156,1.0902
1157,1.09063
1158,1.08946
1159,1.08759
1160,1.08449
1161,1.08061
1162,1.078
1163,1.07518
1164,1.07202
1165,1.07261
1166,1.07337
1167,1.07618
1168,1.07878
1169,1.08256
1170,1.08475
1171,1.08771
1172,1.08961
1173,1.09124
1174,1.08909
1175,1.08803
1176,1.08452
1177,1.08137
1178,1.07742
1179,1.07522
1180,1.07225
1181,1.07218
1182,1.0734
1183,1.076
1184,1.078
1185,1.08225
1186,1.0841
1187,1.08725
1188,1.08926
1189,1.09123
1190,1.08946
1191,1.08824
1192,1.08532
1193,1.08149
1194,1.07854
1195,1.07542
1196,1.07312
1197,1.07192
1198,1.07341
1199,1.07509
1200,1.07781
1201,1.08075
1202,1.08428
1203,1.0863
1204,1.08907
1205,1.09048
1206,1.09068
1207,1.08807
1208,1.08591
1209,1.08129
1210,1.07922
1211,1.07605
1212,1.07342
1213,1.0719
1214,1.0731
1215,1.07485
1216,1.0772
1217,1.08095
1218,1.08363
1219,1.08627
1220,1.08919
1221,1.0907
1222,1.09055
1223,1.08861
1224,1.08636
1225,1.08317
1226,1.07937
1227,1.0765
1228,1.07378
1229,1.07189
1230,1.07272
1231,1.07491
1232,1.07697
1233,1.08049
1234,1.08335
1235,1.0859
1236,1.08795
1237,1.09061
1238,1.09027
1239,1.08913
1240,1.08663
1241,1.0836
1242,1.0794
1243,1.07725
1244,1.07377
1245,1.07208
1246,1.07213
1247,1.07482
1248,1.07594
1249,1.08001
1250,1.08258
1251,1.08571
1252,1.08754
1253,1.09035
1254,1.09083
1255,1.08916
1256,1.08771
1257,1.0842
1258,1.0806
1259,1.07723
1260,1.07537
1261,1.07184
1262,1.07254
1263,1.07414
1264,1.0763
1265,1.07881
1266,1.08301
1267,1.08465
1268,1.08791
1269,1.09022
1270,1.09096
1271,1.08926
1272,1.08788
1273,1.08399
1274,1.08123
1275,1.07794
1276,1.07531
1277,1.07233
1278,1.07173
1279,1.0737
1280,1.07559
1281,1.07811
1282,1.08196
1283,1.08514
1284,1.08712
1285,1.08956
1286,1.09025
1287,1.08963
1288,1.08762
1289,1.08528
1290,1.08091
1291,1.0786
1292,1.07528
1293,1.07271
1294,1.07154
1295,1.07344
1296,1.07552
1297,1.07787
1298,1.08175
1299,1.08452
1300,1.08646
1301,1.08896
1302,1.09078
1303,1.08946
1304,1.08841
1305,1.08558
1306,1.08179
1307,1.0787
1308,1.07649
1309,1.07314
1310,1.07226
1311,1.07322
1312,1.07528
1313,1.07718
1314,1.08139
1315,1.08373
1316,1.08708
1317,1.08854
1318,1.09119
1319,1.09022
1320,1.08899
1321,1.08578
1322,1.08274
1323,1.07907
1324,1.07673
1325,1.07332
1326,1.07209
1327,1.07274
1328,1.07447
1329,1.07732
1330,1.08024
1331,1.08348
1332,1.086
1333,1.0889
1334,1.09038
1335,1.09111
1336,1.08833
1337,1.08693
1338,1.08261
1339,1.07982
1340,1.07639
1341,1.07426
1342,1.07194
1343,1.07264
1344,1.07447
1345,1.07673
1346,1.07973
1347,1.08324
1348,1.08565
1349,1.08805
1350,1.08991
1351,1.09084
1352,1.08905
1353,1.08735
1354,1.08404
1355,1.07985
1356,1.07726
1357,1.0745
1358,1.07209
1359,1.07279
1360,1.07469
1361,1.07623
1362,1.07959
1363,1.08279
1364,1.08535
1365,1.08711
1366,1.09051
1367,1.09057
1368,1.08958
1369,1.08731
1370,1.08453
1371,1.08021
1372,1.07782
1373,1.07473
1374,1.07232
1375,1.07189
1376,1.07409
1377,1.07614
1378,1.07906
1379,1.08245
1380,1.08462
1381,1.08769
1382,1.08966
1383,1.09124
1384,1.09001
1385,1.08801
1386,1.08479
1387,1.08123
1388,1.07812
1389,1.07531
1390,1.07265
1391,1.0718
1392,1.07348
1393,1.07601
1394,1.07788
1395,1.08169
1396,1.08407
1397,1.08713
1398,1.08917
1399,1.09107
1400,1.08979
1401,1.08823
1402,1.08561
1403,1.08165
1404,1.07807
1405,1.07618
1406,1.07276
1407,1.07176
1408,1.07288
1409,1.07548
1410,1.07794
1411,1.08123
1412,1.08412
1413,1.08654
1414,1.08906
1415,1.0907
1416,1.08989
1417,1.08782
1418,1.08608
1419,1.08195
1420,1.07913
1421,1.076
1422,1.07348
1423,1.07149
1424,1.07325
1425,1.07469
1426,1.07733
1427,1.08088
1428,1.08412
1429,1.08552
1430,1.08925
1431,1.09012
1432,1.09014
1433,1.0888
1434,1.08663
1435,1.08221
1436,1.07965
1437,1.0759
1438,1.07361
1439,1.07218
1440,1.07258
1441,1.07478
1442,1.07673
1443,1.08031
1444,1.0832
1445,1.08616
1446,1.0881
1447,1.09076
1448,1.09063
1449,1.08935
1450,1.08636
1451,1.0837
1452,1.07953
1453,1.07745
1454,1.07378
1455,1.07236
1456,1.07228
1457,1.07462
1458,1.07615
1459,1.08002
1460,1.08264
1461,1.08557
1462,1.08788
1463,1.09073
1464,1.09083
1465,1.08991
1466,1.08712
1467,1.08397
1468,1.08052
1469,1.07755
1470,1.07459
1471,1.07271
1472,1.07205
1473,1.07462
1474,1.07569
1475,1.07881
1476,1.08284
1477,1.08496
1478,1.08758
1479,1.09014
1480,1.09117
1481,1.08939
1482,1.08803
1483,1.0847
1484,1.08106
1485,1.07764
1486,1.07503
1487,1.07203
1488,1.07285
1489,1.07348
1490,1.07607
1491,1.07881
1492,1.08245
1493,1.08438
1494,1.08761
1495,1.0895
1496,1.09127
1497,1.08943
1498,1.08866
1499,1.08552
1500,1.08154
1501,1.07831
1502,1.07573
1503,1.07291
1504,1.07174
1505,1.0735
1506,1.07558
1507,1.07795
1508,1.08157
1509,1.08432
1510,1.08679
1511,1.08943
1512,1.09071
1513,1.09034
1514,1.0885
1515,1.0858
1516,1.08203
1517,1.07867
1518,1.07558
1519,1.0733
1520,1.07174
1521,1.07307
1522,1.07509
1523,1.07778
1524,1.08075
1525,1.0843
1526,1.08624
1527,1.08923
1528,1.09083
1529,1.09067
1530,1.08835
1531,1.08675
1532,1.08228
1533,1.07922
1534,1.07653
1535,1.07384
1536,1.0708
1537,1.07312
1538,1.07498
1539,1.07725
1540,1.08016
1541,1.08404
1542,1.0855
1543,1.08864
1544,1.0907
1545,1.0906
1546,1.08866
1547,1.08691
1548,1.0833
1549,1.0797
1550,1.07716
1551,1.07358
1552,1.07213
1553,1.072
1554,1.07496
1555,1.07647
1556,1.08045
1557,1.08284
1558,1.08532
1559,1.08813
1560,1.09048
1561,1.09032
1562,1.08886
1563,1.08708
1564,1.08348
1565,1.08037
1566,1.07706
1567,1.07452
1568,1.07216
1569,1.07288
1570,1.07403
1571,1.0767
1572,1.07926
1573,1.08289
1574,1.08512
1575,1.08804
1576,1.08968
1577,1.09129
1578,1.08939
1579,1.08777
1580,1.08404
1581,1.08054
1582,1.07746
1583,1.07521
1584,1.07226
1585,1.07228
1586,1.07399
1587,1.07627
1588,1.07837
1589,1.08245
1590,1.08465
1591,1.08765
1592,1.08992
1593,1.0915
1594,1.0894
1595,1.08814
1596,1.08488
1597,1.08119
1598,1.07774
1599,1.07574
1600,1.07233
1601,1.07164
1602,1.07414
1603,1.07539
1604,1.07821
1605,1.08169
1606,1.08459
1607,1.08672
1608,1.08989
1609,1.09067
1610,1.09004
1611,1.08843
1612,1.08562
1613,1.08143
1614,1.07877
1615,1.07594
1616,1.07307
1617,1.07239
1618,1.07342
1619,1.07538
1620,1.0782
1621,1.08146
1622,1.08413
1623,1.08676
1624,1.08926
1625,1.0907
1626,1.09034
1627,1.08837
1628,1.08617
1629,1.08229
1630,1.07899
1631,1.07631
1632,1.0732
1633,1.07186
1634,1.07308
1635,1.07534
1636,1.07765
1637,1.08127
1638,1.08376
1639,1.08637
1640,1.08853
1641,1.09087
1642,1.09047
1643,1.08936
1644,1.08591
1645,1.08327
1646,1.07942
1647,1.07644
1648,1.07381
1649,1.07208
1650,1.07278
1651,1.0745
1652,1.07682
1653,1.07991
1654,1.08331
1655,1.08588
1656,1.08845
1657,1.09042
1658,1.09106
1659,1.08871
1660,1.08745
1661,1.0834
1662,1.08025
1663,1.07719
1664,1.07414
1665,1.07197
1666,1.07285
1667,1.07445
1668,1.07666
1669,1.07968
1670,1.08252
1671,1.08532
1672,1.08814
1673,1.09063
1674,1.09084
1675,1.08959
1676,1.08685
1677,1.08423
1678,1.08027
1679,1.07781
1680,1.07446
1681,1.07249
1682,1.07179
1683,1.07426
1684,1.07565
1685,1.07959
1686,1.08206
1687,1.08516
1688,1.08771
1689,1.09001
1690,1.0905
1691,1.08994
1692,1.08713
1693,1.08446
1694,1.08087
1695,1.07811
1696,1.07433
1697,1.07266
1698,1.07206
1699,1.07394
1700,1.07593
1701,1.07877
1702,1.08182
1703,1.08494
1704,1.08702
1705,1.08978
1706,1.09087
1707,1.08996
1708,1.08744
1709,1.08548
1710,1.0816
1711,1.07811
1712,1.07577
1713,1.07248
1714,1.07243
1715,1.0733
1716,1.07567
1717,1.07794
1718,1.08183
1719,1.08396
1720,1.08721
1721,1.089
1722,1.09146
1723,1.08995
1724,1.0886
1725,1.08601
1726,1.08213
1727,1.079
1728,1.07633
1729,1.07322
1730,1.07179
1731,1.07366
1732,1.07479
1733,1.07742
1734,1.08134
1735,1.08403
1736,1.0864
1737,1.08925
1738,1.09057
1739,1.09054
1740,1.08864
1741,1.0863
1742,1.08212
1743,1.07948
1744,1.07654
1745,1.07378
1746,1.07213
1747,1.07256
1748,1.07515
1749,1.0771
1750,1.08027
1751,1.0834
1752,1.08613
1753,1.08856
1754,1.09103
1755,1.09027
1756,1.08893
1757,1.08662
1758,1.08298
1759,1.07946
1760,1.0771
1761,1.07378
1762,1.07203
1763,1.07235
1764,1.07452
1765,1.07671
1766,1.08001
1767,1.08346
1768,1.08555
1769,1.08797
1770,1.09083
1771,1.09086
1772,1.08959
1773,1.08673
1774,1.0843
1775,1.07972
1776,1.07782
1777,1.07453
1778,1.07226
1779,1.07243
1780,1.07475
1781,1.0761
1782,1.07998
1783,1.08225
1784,1.0855
1785,1.08792
1786,1.09045
1787,1.09074
1788,1.08992
1789,1.08788
1790,1.0842
1791,1.08074
1792,1.07801
1793,1.07511
1794,1.07216
1795,1.07264
1796,1.07386
1797,1.07637
1798,1.07903
1799,1.08238
1800,1.08429
1801,1.08738
1802,1.0895
1803,1.09124
1804,1.08969
1805,1.08828
1806,1.08468
1807,1.08141
1808,1.07837
1809,1.07539
1810,1.07275
1811,1.07242
1812,1.07366
1813,1.07611
1814,1.07828
1815,1.08197
1816,1.08368
1817,1.08747
1818,1.08925
1819,1.09114
1820,1.0904
1821,1.08797
1822,1.08562
1823,1.08193
1824,1.07871
1825,1.07567
1826,1.07371
1827,1.07163
1828,1.07378
1829,1.07541
1830,1.07811
1831,1.08119
1832,1.08475
1833,1.08629
1834,1.08959
1835,1.09106
1836,1.09021
1837,1.0887
1838,1.08623
1839,1.08264
1840,1.07912
1841,1.07653
1842,1.07305
1843,1.07206
1844,1.07298
1845,1.07537
1846,1.0773
1847,1.08109
1848,1.08361
1849,1.0866
1850,1.0885
1851,1.09129
1852,1.09014
1853,1.08915
1854,1.08636
1855,1.08327
1856,1.07956
1857,1.07719
1858,1.07381
1859,1.07194
1860,1.07301
1861,1.07489
1862,1.0765
1863,1.08054
1864,1.08311
1865,1.0861
1866,1.0884
1867,1.09044
1868,1.0909
1869,1.08938
1870,1.08706
1871,1.08367
1872,1.0798
1873,1.07697
1874,1.07435
1875,1.0722
